Range    : 0.200

Accuracy : 0.003

Control file  : gr32new

Spectrum file : 9md

Searching 1 1 0 near 2648.69151
10 1 9 2512.50421 96.9 3173.40107
9 3 7 2548.98755 66.4 3173.40221
10 3 7 2358.94442 96.5 3173.40151

9 1 9 2704.22307 98.6 3173.46943
9 3 7 2549.05284 100.1 3173.4675

9 1 9 2704.28474 93.6 3173.5311
9 3 7 2549.11687 99.4 3173.53153

10 1 9 2512.50421 96.9 3173.40107
9 3 7 2548.98755 66.4 3173.40221
10 3 7 2358.94442 96.5 3173.40151

10 1 9 2512.79149 100.1 3173.68835
10 3 7 2359.22851 100.0 3173.68561

10 1 9 2512.92717 81.4 3173.82402
10 3 7 2359.36466 99.9 3173.82176

8 3 5 2605.84402 99.1 3173.54087
9 3 7 2549.12518 99.1 3173.53985

8 3 5 2606.03737 99.5 3173.73422
10 3 7 2359.27972 100.1 3173.73682

9 3 7 2548.98755 66.4 3173.40221
10 3 7 2358.94442 96.5 3173.40151

Searching 9 2 8 near 3173.58434

8 2 7 2720.90625 97.0 3173.40092
9 2 7 2548.98755 66.4 3173.40057
10 2 9 2512.50421 96.9 3173.40108
8 4 5 2605.51884 98.4 3173.40057
9 4 5 2435.53956 100.1 3173.40049
10 4 7 2358.93476 90.5 3173.40076
9 0 9 2704.15472 49.5 3173.40108

8 2 7 2721.03062 99.2 3173.52529
10 2 9 2512.6278 74.7 3173.52467
8 4 5 2605.64573 91.1 3173.52746

8 2 7 2721.09104 3.2 3173.58571
10 2 9 2512.68972 55.8 3173.58658

8 2 7 2721.25183 94.1 3173.7465
10 4 7 2359.27972 100.1 3173.74571

9 2 7 2548.98755 66.4 3173.40057
10 2 9 2512.50421 96.9 3173.40108
8 4 5 2605.51884 98.4 3173.40057
9 4 5 2435.53956 100.1 3173.40049
10 4 7 2358.93476 90.5 3173.40076
9 0 9 2704.15472 49.5 3173.40108

9 2 7 2549.05284 100.1 3173.46586
10 4 7 2358.99778 91.2 3173.46377

9 2 7 2549.11687 99.4 3173.52989
8 4 5 2605.64573 91.1 3173.52746
9 0 9 2704.28474 93.6 3173.5311

10 2 9 2512.50421 96.9 3173.40108
8 4 5 2605.51884 98.4 3173.40057
9 4 5 2435.53956 100.1 3173.40049
10 4 7 2358.93476 90.5 3173.40076
9 0 9 2704.15472 49.5 3173.40108

10 2 9 2512.6278 74.7 3173.52467
8 4 5 2605.64573 91.1 3173.52746

8 4 5 2605.51884 98.4 3173.40057
9 4 5 2435.53956 100.1 3173.40049
10 4 7 2358.93476 90.5 3173.40076
9 0 9 2704.15472 49.5 3173.40108

8 4 5 2605.78336 100.1 3173.66509
9 4 5 2435.80176 99.9 3173.6627
9 0 9 2704.41673 83.8 3173.66309

8 4 5 2605.88553 99.3 3173.76726
9 4 5 2435.90393 96.1 3173.76486

9 4 5 2435.53956 100.1 3173.40049
10 4 7 2358.93476 90.5 3173.40076
9 0 9 2704.15472 49.5 3173.40108

9 4 5 2435.80176 99.9 3173.6627
9 0 9 2704.41673 83.8 3173.66309

10 4 7 2358.85292 100.1 3173.31891
9 0 9 2704.07076 94.3 3173.31712

10 4 7 2358.93476 90.5 3173.40076
9 0 9 2704.15472 49.5 3173.40108

Searching 10 1 9 near 3281.26109

9 1 8 2729.1246 99.8 3281.13862
11 3 8 2329.49494 100.1 3281.14134

9 1 8 2729.14963 99.6 3281.16365
10 3 8 2538.31215 100.1 3281.16529
11 3 8 2329.51754 100.1 3281.16394

9 1 8 2729.26255 10.5 3281.27657
